player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8477942,Kevin Fiala,L,640.55,375,35.1261,32.789,37.353,469,43.931,41.7637,45.871,844,79.0571,59.7281,60.0,6.9325,104
8476468,J.T. Miller,C,944.18,531,33.7434,31.8398,35.6298,637,40.4794,38.6549,42.2347,1168,74.2229,59.8033,60.0,6.9282,105
8477935,Sam Bennett,C,674.55,453,40.2935,38.0872,42.3299,383,34.0672,31.7852,36.2579,836,74.3607,59.7255,60.0,6.8991,106
8480002,Nico Hischier,C,784.12,482,36.8823,34.815,38.8934,496,37.9535,35.9002,39.9405,978,74.8358,59.7652,60.0,6.8956,107
8480039,Martin Necas,C,726.78,449,37.0674,34.905,39.1336,549,45.323,43.3568,47.1012,998,82.3904,59.7699,60.0,6.8728,108
8475793,Ryan Johansen,C,349.27,193,33.1552,30.033,36.2587,257,44.1496,41.2663,46.7916,450,77.3048,59.4921,60.0,6.8455,109
8478047,Michael Bunting,L,477.4,309,38.8354,36.2344,41.3597,294,36.9501,34.3169,39.5338,603,75.7855,59.6202,60.0,6.8306,110
8481560,Arthur Kaliyev,R,251.98,153,36.431,32.74,39.9241,190,45.2411,41.8344,48.1841,343,81.6721,59.3354,60.0,6.824,111
8482699,Dylan Guenther,R,348.02,178,30.6882,27.5482,33.8161,300,51.7217,49.3121,53.6618,478,82.4098,59.5216,60.0,6.8108,112
8477494,Jonathan Drouin,L,430.7,269,37.4739,34.6497,40.1143,337,46.9468,44.4311,49.0984,606,84.4207,59.622,60.0,6.7976,113
8475791,Taylor Hall,L,456.6,259,34.0342,31.2562,36.6858,330,43.364,40.7584,45.6715,589,77.3982,59.6112,60.0,6.7676,114
8474870,Tyler Johnson,C,225.23,149,39.6922,35.8896,43.2503,137,36.4955,32.6284,40.2189,286,76.1877,59.2048,60.0,6.7605,115
8481533,Trevor Zegras,C,489.95,311,38.0855,35.4698,40.5677,321,39.3101,36.7173,41.7502,632,77.3957,59.6375,60.0,6.7538,116
8482146,Luke Evangelista,R,294.52,187,38.0963,34.6518,41.2094,190,38.7075,35.2739,41.792,377,76.8038,59.3948,60.0,6.7537,117
8475784,Jeff Skinner,L,456.05,252,33.1543,30.4046,35.8584,370,48.6789,46.3771,50.6791,622,81.8331,59.6317,60.0,6.7483,118
8477407,Anthony Duclair,L,319.85,192,36.0169,32.7266,39.1311,191,35.8293,32.5373,38.9498,383,71.8462,59.4042,60.0,6.7124,119
8475810,Bryan Rust,R,701.03,456,39.0281,36.8681,41.0934,357,30.5549,28.3389,32.7677,813,69.583,59.7178,60.0,6.6637,120
8477946,Dylan Larkin,C,808.0,527,39.1337,37.1243,41.0566,496,36.8317,34.7896,38.8091,1023,75.9653,59.7755,60.0,6.6574,121
8482089,Jake Neighbours,L,301.6,162,32.2281,28.8046,35.5114,201,39.9867,36.634,42.984,363,72.2149,59.3717,60.0,6.6557,122
8478542,Evan Rodrigues,C,566.62,349,36.9562,34.4897,39.2795,335,35.4737,32.9927,37.8334,684,72.4299,59.6649,60.0,6.6487,123
8484387,Matvei Michkov,R,201.3,129,38.4501,34.405,42.2908,113,33.6811,29.5843,37.7384,242,72.1311,59.0624,60.0,6.6152,124
8477496,Elias Lindholm,C,849.5,528,37.2925,35.2853,39.1904,490,34.6086,32.5789,36.5563,1018,71.9011,59.7744,60.0,6.5934,125
8474586,Jordan Eberle,R,540.32,302,33.5359,31.0267,36.0342,382,42.4196,40.0606,44.6525,684,75.9555,59.6649,60.0,6.5443,126
8482659,Josh Doan,R,148.92,81,32.6357,27.8132,37.2901,111,44.723,40.1659,48.4912,192,77.3587,58.823,60.0,6.5379,127
8475151,Kyle Palmieri,C,492.83,293,35.6713,33.0245,38.2064,311,37.8627,35.2424,40.336,604,73.534,59.6208,60.0,6.5044,128
8478495,Denis Gurianov,R,173.73,98,33.845,29.3366,38.0858,108,37.2985,32.8033,41.3666,206,71.1435,58.9016,60.0,6.4907,129
8474149,Evgenii Dadonov,R,320.57,199,37.2465,33.9428,40.2795,183,34.2518,30.9253,37.3865,382,71.4984,59.4026,60.0,6.4685,130
8478042,Viktor Arvidsson,L,380.85,219,34.5018,31.4794,37.4073,284,44.742,41.9618,47.193,503,79.2438,59.5452,60.0,6.4597,131
