player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8480801,Brady Tkachuk,L,769.75,457,35.622,33.5059,37.6592,265,20.6561,18.6868,22.7047,212,16.5248,14.6969,18.4759,934,72.8029,59.7542,60.0,7.4031,31
8477956,David Pastrnak,R,789.83,433,32.893,30.7948,34.9494,286,21.7261,19.7553,23.7679,246,18.6875,16.8048,20.6719,965,73.3066,59.7621,60.0,7.3388,32
8478444,Brock Boeser,R,641.33,341,31.9023,29.5966,34.2183,217,20.3015,18.1775,22.562,239,22.3597,20.1769,24.6566,797,74.5634,59.7122,60.0,7.3315,33
8476483,Rickard Rakell,R,556.22,344,37.1078,34.6589,39.488,158,17.0437,14.8958,19.3826,167,18.0146,15.8239,20.3837,669,72.1661,59.6574,60.0,7.3193,34
8478483,Mitch Marner,R,894.95,496,33.2533,31.2877,35.1873,337,22.5934,20.723,24.5246,206,13.8108,12.2267,15.5318,1039,69.6575,59.779,60.0,7.3168,35
8478445,Mathew Barzal,C,501.8,247,29.5337,26.9115,32.1396,211,25.2292,22.6742,27.8367,176,21.0442,18.6081,23.5998,634,75.8071,59.6386,60.0,7.2941,36
8470621,Corey Perry,R,397.38,221,33.3683,30.4497,36.2861,133,20.0814,17.4216,22.9697,131,19.7794,17.1326,22.6599,485,73.229,59.5285,60.0,7.2923,37
8473563,Nicklas Backstrom,C,158.68,76,28.7365,24.107,33.3139,67,25.3335,20.8424,29.9462,53,20.0399,15.8852,24.5866,196,74.1099,58.8466,60.0,7.2535,38
8480830,Andrei Svechnikov,R,579.18,306,31.6998,29.2669,34.1302,210,21.7548,19.4734,24.1585,233,24.1374,21.7946,26.5727,749,77.592,59.6938,60.0,7.2075,39
8480014,Gabriel Vilardi,C,428.9,240,33.5743,30.7284,36.3412,154,21.5435,18.901,24.3261,125,17.4866,15.0227,20.1645,519,72.6043,59.5591,60.0,7.1781,40
8475168,Matt Duchene,C,606.93,310,30.6459,28.2599,33.017,240,23.7258,21.4359,26.0895,181,17.8932,15.7894,20.1455,731,72.2649,59.6863,60.0,7.1311,41
