goalie_id,goalie_name,total_faced,total_goals,toi_ES_min,spatial_save_pct,sv_lo,sv_hi,rank_spatial_savepct,NFI_GSAx_cumulative,rank_cumulative,NFI_GSAx_per60,rank_per60,rank_diff_per60_vs_cum,flag_gt20_shift,xG_calibrated,xG,NFI_GSAx,meets_4000min,rank_per60_4000min,rank_cumulative_4000min,tier,tier_label,rank_per60_tier2
8481033,Akira Schmid,728.0,113.0,2787.48,0.8183,0.7845,0.8479,74.0,-8.9,70.0,-0.192,80.0,-10.0,0,104.1,72.35,-40.65,0,,,2,Small Sample,16.0
8479496,David Rittich,1100.0,173.0,5182.88,0.8114,0.7836,0.8364,82.0,-16.69,81.0,-0.193,81.0,0.0,0,156.31,108.83,-64.17,1,57.0,54.0,1,Qualified,
8477970,Vitek Vanecek,1704.0,269.0,7689.17,0.8138,0.792,0.8337,80.0,-24.14,88.0,-0.188,78.0,10.0,0,244.86,170.23,-98.77,1,55.0,59.0,1,Qualified,
8479292,Charlie Lindgren,1442.0,221.0,6244.42,0.8108,0.7863,0.833,83.0,-19.6,85.0,-0.188,78.0,7.0,0,201.4,140.05,-80.95,1,55.0,56.0,1,Qualified,
8475789,Jack Campbell,1049.0,163.0,4231.2,0.8148,0.7866,0.8401,78.0,-14.18,77.0,-0.201,83.0,-6.0,0,148.82,103.3,-59.7,1,58.0,50.0,1,Qualified,
8477992,Jonas Johansson,863.0,137.0,3494.93,0.8125,0.7812,0.8402,81.0,-13.21,75.0,-0.227,84.0,-9.0,0,123.79,86.17,-50.83,0,,,2,Small Sample,17.0
8475831,Philipp Grubauer,1913.0,307.0,8122.48,0.8022,0.7811,0.8217,87.0,-34.0,91.0,-0.251,85.0,6.0,0,273.0,190.09,-116.91,1,59.0,61.0,1,Qualified,
8478039,Kaapo Kahkonen,1224.0,194.0,5072.38,0.8089,0.7822,0.833,85.0,-23.4,87.0,-0.277,86.0,1.0,0,170.6,118.29,-75.71,1,60.0,58.0,1,Qualified,
8473503,James Reimer,1678.0,267.0,7008.38,0.8005,0.7773,0.8218,88.0,-36.12,92.0,-0.309,87.0,5.0,0,230.88,159.99,-107.01,1,61.0,62.0,1,Qualified,
8482137,Yaroslav Askarov,626.0,99.0,1968.05,0.8165,0.7791,0.8487,76.0,-10.52,73.0,-0.321,88.0,-15.0,0,88.48,61.66,-37.34,0,,,3,Insufficient Sample,
8482821,Arvid Soderblom,1258.0,213.0,4740.4,0.8039,0.7785,0.8271,86.0,-26.83,90.0,-0.34,89.0,1.0,0,186.17,129.83,-83.17,1,62.0,60.0,1,Qualified,
8481035,Samuel Ersson,1167.0,205.0,5975.95,0.7952,0.7678,0.8201,89.0,-36.65,93.0,-0.368,90.0,3.0,0,168.35,117.36,-87.64,1,63.0,63.0,1,Qualified,
8480051,Cayden Primeau,506.0,89.0,2098.93,0.7908,0.7478,0.8282,90.0,-16.95,83.0,-0.485,92.0,-9.0,0,72.05,50.06,-38.94,0,,,2,Small Sample,18.0
8481668,Arturs Silovs,639.0,105.0,2075.6,0.8089,0.771,0.8419,84.0,-16.72,82.0,-0.483,91.0,-9.0,0,88.28,61.32,-43.68,0,,,2,Small Sample,18.0
8475717,Calvin Pickard,720.0,128.0,3084.23,0.784,0.7478,0.8164,91.0,-26.34,89.0,-0.512,93.0,-4.0,0,101.66,70.59,-57.41,0,,,2,Small Sample,20.0
