player_id,player_name,es_toi_min,TNFI_SA_per60,P4_weighted,TNFI_SF_per60,P5_weighted,z_P5_weighted,z_P4_weighted,twoway_D_score,off_rank,def_rank,twoway_D_rank
8479378,Logan Stanley,2851.35,20.3483,1.9654,18.3492,1.8134,-0.23210090610352022,0.12603281091354035,-0.35813371701706054,192,216,219
8473446,Erik Johnson,3309.48,21.6469,2.1722,21.3749,2.0533,0.8285421095448069,1.1895773971561434,-0.3610352876113365,64,304,220
8480196,Jacob Bryson,3332.22,20.0407,1.9742,18.7983,1.8205,-0.20071047087591193,0.17129002734939536,-0.3720004982253073,187,220,221
8481600,Tobias Bjornfot,1588.55,19.1495,1.9403,18.6208,1.7765,-0.395242745525876,-0.003053113238729749,-0.39218963228714626,218,191,222
8474166,Alec Martinez,3393.17,21.4667,2.1499,20.4234,2.018,0.6724741710188116,1.0748914964152825,-0.4024173253964709,86,297,223
8481609,Vladislav Kolyachonok,1064.58,20.1205,1.9671,17.5843,1.8036,-0.2754285490937386,0.13477568227046713,-0.4102042313642057,200,217,224
8480817,K'Andre Miller,6612.35,20.7339,2.1143,19.8265,1.9739,0.4774997775628259,0.8918054844702307,-0.41430570690740476,103,283,225
8480145,Neal Pionk,6109.98,20.4943,2.054,19.3159,1.9015,0.1574057620024306,0.5816906945745383,-0.42428493257210764,142,252,226
8478500,Ivan Provorov,7190.8,18.7072,1.8502,16.6463,1.6576,-0.9209220058868013,-0.46642529515583964,-0.45449671073096165,292,117,227
8484806,Sam Dickinson,688.27,19.1786,1.9739,18.3069,1.7961,-0.3085874595454373,0.1697471676981732,-0.47833462724361053,206,218,228
8470281,Duncan Keith,1077.38,24.114,2.465,24.5595,2.3658,2.2101633783655736,2.69540841674915,-0.48524503838357624,11,344,229
8475790,Erik Gudbranson,4457.23,20.488,1.9646,18.3477,1.7829,-0.36694714194042694,0.12191851851028007,-0.488865660450707,214,213,230
8476441,Joel Edmundson,4318.37,19.6324,1.9622,17.7428,1.7749,-0.4023166464222386,0.10957564130050153,-0.5118922877227401,222,212,231
8478452,Caleb Jones,2373.72,19.539,1.9612,17.6938,1.7723,-0.41381173537882704,0.10443277579642762,-0.5182445111752547,226,211,232
8474818,Jordie Benn,687.68,21.5506,2.0959,20.9399,1.9274,0.2719145327622959,0.7971767591952592,-0.5252622264329634,127,271,233
