shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8482155,Alex Laferriere,389,63,0.162,0.1287,0.2018,12,0.1905,False
8476459,Mika Zibanejad,291,47,0.1615,0.1237,0.2082,5,0.1064,False
8482093,Seth Jarvis,310,50,0.1613,0.1245,0.2063,4,0.08,False
8478042,Viktor Arvidsson,280,45,0.1607,0.1223,0.2083,5,0.1111,False
8482078,Lucas Raymond,324,52,0.1605,0.1245,0.2044,8,0.1538,False
8482259,Bobby McMann,368,59,0.1603,0.1264,0.2013,11,0.1864,False
8479316,Luke Kunin,200,32,0.16,0.1157,0.2171,3,0.0938,False
8482713,Mackie Samoskevich,194,31,0.1598,0.1149,0.2179,3,0.0968,False
8482113,Anton Lundell,276,44,0.1594,0.121,0.2072,8,0.1818,False
8475169,Evander Kane,266,42,0.1579,0.119,0.2065,7,0.1667,False
8476448,William Karlsson,197,31,0.1574,0.1131,0.2147,7,0.2258,False
8479999,Casey Mittelstadt,198,31,0.1566,0.1125,0.2137,6,0.1935,False
8477409,Carter Verhaeghe,428,67,0.1565,0.1252,0.194,7,0.1045,False
8482145,Mavrik Bourque,179,28,0.1564,0.1105,0.2168,8,0.2857,False
8478414,Timo Meier,468,73,0.156,0.1259,0.1916,10,0.137,False
8480802,Ryan McLeod,180,28,0.1556,0.1099,0.2156,4,0.1429,False
8476905,Chandler Stephenson,142,22,0.1549,0.1046,0.2234,3,0.1364,False
8481068,Yegor Sharangovich,252,39,0.1548,0.1153,0.2046,7,0.1795,False
8476278,Colin Blackwell,149,23,0.1544,0.1051,0.221,1,0.0435,False
8478831,Kevin Stenlund,188,29,0.1543,0.1096,0.2128,5,0.1724,False
8481601,Simon Holmstrom,156,24,0.1538,0.1056,0.2187,5,0.2083,False
8478109,Victor Olofsson,208,32,0.1538,0.1111,0.2091,2,0.0625,False
8481533,Trevor Zegras,190,29,0.1526,0.1084,0.2106,6,0.2069,False
8478493,Joel Eriksson Ek,276,42,0.1522,0.1146,0.1993,6,0.1429,False
8481577,Philip Tomasino,125,19,0.152,0.0995,0.2252,1,,False
8477500,Bo Horvat,375,57,0.152,0.1192,0.1919,7,0.1228,False
8479675,Trevor Moore,363,55,0.1515,0.1183,0.192,8,0.1455,False
8484153,Leo Carlsson,251,38,0.1514,0.1123,0.201,6,0.1579,False
