shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8482116,296,21,0.0709,0.0469,0.106,2,0.0952,False,261,215
8480012,212,15,0.0708,0.0433,0.1134,4,0.2667,False,262,83
8480748,297,21,0.0707,0.0467,0.1057,3,0.1429,False,263,130
8478414,468,33,0.0705,0.0506,0.0974,5,0.1515,False,264,42
8482859,57,4,0.0702,0.0276,0.167,0,,False,265,485
8481237,114,8,0.0702,0.036,0.1324,2,,False,265,215
8482809,200,14,0.07,0.0422,0.1141,1,0.0714,False,267,325
8482079,200,14,0.07,0.0422,0.1141,3,0.2143,False,267,130
8482149,272,19,0.0699,0.0452,0.1065,5,0.2632,False,269,42
8478449,258,18,0.0698,0.0446,0.1076,3,0.1667,False,270,130
8481624,287,20,0.0697,0.0456,0.1052,1,0.05,False,271,325
8475798,230,16,0.0696,0.0433,0.11,4,0.25,False,272,83
8476927,187,13,0.0695,0.0411,0.1153,0,0.0,False,273,485
8483553,72,5,0.0694,0.03,0.1525,1,,False,274,325
8481605,216,15,0.0694,0.0425,0.1114,3,0.2,False,274,130
8480426,58,4,0.069,0.0271,0.1643,1,,False,276,325
8474157,116,8,0.069,0.0354,0.1302,0,,False,276,485
8478508,232,16,0.069,0.0429,0.1091,0,0.0,False,276,485
8483570,58,4,0.069,0.0271,0.1643,0,,False,276,485
8479977,87,6,0.069,0.032,0.1424,1,,False,276,325
8476483,335,23,0.0687,0.0462,0.1009,3,0.1304,False,281,130
8476459,291,20,0.0687,0.0449,0.1038,4,0.2,False,281,83
8481533,190,13,0.0684,0.0404,0.1135,2,0.1538,False,283,215
8481617,205,14,0.0683,0.0411,0.1114,1,0.0714,False,284,325
8477810,88,6,0.0682,0.0316,0.1409,0,,False,285,485
8478366,352,24,0.0682,0.0462,0.0994,3,0.125,False,285,130
8477933,264,18,0.0682,0.0436,0.1052,3,0.1667,False,285,130
8478043,104,7,0.0673,0.033,0.1325,1,,False,288,325
8480848,119,8,0.0672,0.0345,0.1271,0,,False,289,485
8474189,238,16,0.0672,0.0418,0.1064,1,0.0625,False,289,325
8475794,149,10,0.0671,0.0369,0.1191,4,0.4,False,291,83
8476278,149,10,0.0671,0.0369,0.1191,0,0.0,False,291,485
8471675,378,25,0.0661,0.0452,0.0958,3,0.12,False,293,130
8482751,91,6,0.0659,0.0306,0.1365,0,,False,294,485
8479542,395,26,0.0658,0.0453,0.0947,9,0.3462,False,295,3
8475164,61,4,0.0656,0.0258,0.1568,0,,False,296,485
8477494,168,11,0.0655,0.037,0.1134,2,0.1818,False,297,215
8482089,214,14,0.0654,0.0394,0.1068,3,0.2143,False,298,130
8475722,276,18,0.0652,0.0416,0.1007,4,0.2222,False,299,83
8479619,261,17,0.0651,0.0411,0.1018,3,0.1765,False,300,130
8478427,307,20,0.0651,0.0426,0.0985,5,0.25,False,300,42
8478440,261,17,0.0651,0.0411,0.1018,10,0.5882,False,300,1
8482155,389,25,0.0643,0.0439,0.0932,5,0.2,False,303,42
8480797,311,20,0.0643,0.042,0.0972,4,0.2,False,303,83
8478042,280,18,0.0643,0.041,0.0993,3,0.1667,False,303,130
8478420,327,21,0.0642,0.0424,0.0962,4,0.1905,False,306,83
8481557,390,25,0.0641,0.0438,0.0929,4,0.16,False,307,83
8482109,359,23,0.0641,0.0431,0.0943,3,0.1304,False,307,130
8481577,125,8,0.064,0.0328,0.1212,1,,False,309,325
8482705,266,17,0.0639,0.0403,0.1,0,0.0,False,310,485
8474715,141,9,0.0638,0.0339,0.1169,0,,False,311,485
8476882,188,12,0.0638,0.0369,0.1082,3,0.25,False,311,130
8478831,188,12,0.0638,0.0369,0.1082,2,0.1667,False,311,215
8476539,314,20,0.0637,0.0416,0.0963,2,0.1,False,314,215
8475225,157,10,0.0637,0.035,0.1133,4,0.4,False,314,83
8475220,157,10,0.0637,0.035,0.1133,2,0.2,False,314,215
8482775,110,7,0.0636,0.0312,0.1256,3,,False,317,130
8478472,174,11,0.0632,0.0357,0.1096,0,0.0,False,318,485
8482665,269,17,0.0632,0.0398,0.0989,2,0.1176,False,318,215
8482737,175,11,0.0629,0.0355,0.109,4,0.3636,False,320,83
8481540,461,29,0.0629,0.0442,0.0889,7,0.2414,False,320,10
