player_id,games_played,toi_5v5_sec,cf_5v5,ca_5v5,cfpct_5v5
8476432,192,165417,2807,2927,0.48954
8476438,256,198435,3213,3287,0.49431
8476439,50,29112,459,397,0.53621
8476441,250,242033,3961,4036,0.49531
8476442,141,88286,1334,1419,0.48456
8476448,248,192317,3291,3034,0.52032
8476449,45,42086,644,724,0.47076
8476453,303,283052,4836,4622,0.51131
8476454,344,274092,4550,4394,0.50872
8476455,43,33783,648,547,0.54226
8476456,264,215275,3703,3553,0.51034
8476457,306,343646,5485,5576,0.49589
8476458,276,215562,3455,3815,0.47524
8476459,315,250686,4029,4061,0.49802
8476460,305,294535,4646,4915,0.48593
8476461,198,161824,2816,2480,0.53172
8476462,230,232855,4090,3939,0.5094
8476463,219,242613,3931,3837,0.50605
8476467,297,280779,4571,4544,0.50148
8476468,285,230543,3557,3693,0.49062
8476469,232,157497,2420,2533,0.48859
8476470,52,40273,566,763,0.42588
8476473,240,242495,3523,3750,0.48439
8476474,283,181389,3113,2775,0.5287
8476479,298,240942,4265,3617,0.54111
8476480,284,196458,3194,2904,0.52378
8476483,272,236674,4012,4065,0.49672
8476525,208,180740,2894,2917,0.49802
8476539,304,248853,4178,4162,0.50096
8476624,310,197577,3056,3256,0.48416
8476779,48,30702,432,457,0.48594
8476792,140,133699,2195,2286,0.48985
8476822,296,160602,2254,2456,0.47856
8476826,287,241158,3913,3751,0.51057
8476850,13,9589,137,145,0.48582
8476851,11,4387,70,80,0.46667
8476853,293,315264,5269,5204,0.5031
8476854,233,238812,3824,3673,0.51007
8476856,228,224159,3455,3635,0.48731
8476858,112,74858,1096,1190,0.47944
8476867,53,32226,510,548,0.48204
8476869,317,330883,5432,5279,0.50714
8476871,180,116657,1896,1967,0.49081
8476872,291,216687,3702,3435,0.51871
8476873,194,118806,2013,1794,0.52876
8476874,254,247853,3586,3797,0.48571
8476875,260,279622,4540,4695,0.49161
8476878,274,178821,2650,2601,0.50467
8476879,344,342774,5393,5823,0.48083
8476880,246,196638,3243,3097,0.51151
8476881,274,229076,3819,3784,0.5023
8476882,287,212956,3365,3132,0.51793
8476884,13,11033,177,191,0.48098
8476885,298,310127,5346,5174,0.50817
8476887,268,224520,3795,3854,0.49614
8476889,286,187356,2769,2695,0.50677
